annual_rainfall_mm,seasonal_rainfall_mm,cloud_visibility_km,humidity_percent,temperature_celsius,river_discharge_cusecs,soil_moisture_percent,flood
2191.2,1435.1,11.01,71.3,32.8,2305.1,71.0,0
1512.5,1011.6,11.46,62.0,22.5,1545.6,52.9,0
2734.7,1787.0,9.31,74.4,28.0,2425.3,72.5,1
1406.5,844.3,11.78,63.2,28.0,1699.1,50.2,0
2335.8,1578.3,9.43,71.5,26.8,2661.5,56.4,1
926.2,588.4,14.54,57.9,21.8,1179.2,42.2,0
1336.7,941.4,12.41,62.1,30.5,2087.1,59.7,0
2328.0,1306.5,9.85,63.9,30.0,2055.0,51.4,0
2680.0,1626.7,10.93,74.7,24.3,2442.6,54.3,0
2311.4,1460.5,5.98,73.8,29.8,2523.8,50.6,0
2124.8,1053.4,14.13,62.7,28.5,1777.0,48.4,0
2004.3,1503.5,6.8,79.0,21.9,2404.8,52.2,1
1239.0,897.4,10.69,63.2,23.6,865.7,56.9,0
1732.1,1281.6,10.13,76.7,31.6,2107.1,55.3,0
1900.6,1253.8,10.08,65.5,28.2,1519.1,59.3,0
2887.1,1564.6,10.64,62.0,24.7,2089.5,57.5,0
2423.4,1443.6,8.0,72.8,23.6,1903.9,50.2,0
1054.0,709.4,12.73,64.0,24.9,1074.0,35.4,0
2410.7,1536.2,8.37,72.0,25.2,2255.6,53.4,1
1949.7,1515.6,9.76,68.4,23.6,2248.6,60.5,0
1760.0,1155.1,10.57,67.5,20.0,2143.1,54.8,0
2597.6,1231.5,10.52,65.9,31.6,2106.0,56.7,1
2870.1,1713.7,7.75,72.2,30.9,2071.8,53.2,1
2805.3,1710.4,7.82,77.9,21.9,2663.0,62.1,1
1654.5,1047.5,11.5,67.4,27.5,1904.8,43.5,0
1999.0,1289.9,11.58,72.2,23.4,2013.8,56.6,1
2415.3,1833.1,7.23,73.9,26.0,2773.1,67.2,1
2834.1,1894.6,6.59,74.0,25.6,2925.4,58.5,1
1888.5,1158.4,11.58,61.9,25.3,2177.4,57.5,0
2079.3,1328.5,9.97,67.7,35.0,1688.2,68.9,0
1480.9,961.5,12.64,48.9,25.2,1628.6,53.0,0
1422.5,880.9,10.34,61.7,23.8,2053.6,45.5,0
2728.1,1633.4,6.21,72.5,23.9,2966.7,58.7,1
3081.6,1898.5,7.08,78.6,31.2,3128.4,64.3,1
2153.2,1385.4,8.66,68.8,20.4,2392.7,51.4,1
2852.3,1534.7,9.13,73.5,23.9,2914.8,60.3,1
2435.1,1544.6,8.25,61.0,32.8,3006.1,52.1,1
1780.7,1002.7,12.35,65.7,28.0,1714.6,37.5,0
2434.9,1498.1,8.95,63.0,27.8,2081.8,59.4,0
3199.7,2215.7,6.92,73.2,35.5,3188.6,71.7,1
2176.7,1208.6,10.7,67.3,28.0,2939.8,49.2,0
3217.0,2181.1,7.11,85.2,24.2,2755.6,63.2,1
497.2,331.2,13.72,60.5,25.9,772.8,37.9,0
2734.2,1977.5,8.35,76.7,22.5,2548.0,61.1,1
2256.6,1420.3,8.48,70.4,32.0,2312.8,55.8,1
2005.6,1119.9,12.9,63.7,29.3,1539.1,61.6,0
2259.6,1367.8,9.52,67.2,31.5,2177.1,59.6,1
908.1,567.4,10.91,63.3,31.9,624.2,32.4,0
2057.2,1616.4,9.22,65.8,25.3,2705.7,52.7,1
2432.1,1418.3,8.4,73.5,23.2,2639.5,57.5,1
3160.6,2136.6,7.99,76.4,26.8,3055.5,61.8,1
1863.1,1585.0,12.37,76.5,23.5,2440.8,47.7,0
1674.5,1266.3,9.07,73.7,27.7,2033.8,56.9,0
1873.9,1099.9,11.37,58.7,31.5,1929.2,52.5,0
2795.0,1836.3,5.48,72.2,26.3,2783.9,67.1,1
2413.7,1535.5,9.92,67.5,27.6,2649.8,60.4,1
1855.7,1504.4,8.03,62.4,26.6,2750.4,57.8,0
2533.6,1529.7,8.33,66.6,30.2,2168.0,54.7,1
2263.1,1668.5,7.09,85.5,24.3,2492.8,64.4,1
2829.6,1966.7,8.72,79.6,18.2,3228.9,76.1,1
1743.7,1138.7,12.24,77.0,28.9,1496.8,48.3,0
1987.0,1387.2,9.83,74.3,31.0,1642.8,49.9,0
1945.1,1002.4,9.94,62.3,28.8,1820.9,42.0,0
1248.7,870.4,14.12,62.6,24.4,1736.9,41.1,0
2392.5,1570.0,7.99,75.1,22.5,2245.8,60.7,0
2369.7,1782.8,5.07,76.7,29.0,2554.9,50.6,1
2203.3,1532.7,9.94,68.9,27.6,2187.8,61.4,1
2047.5,1191.6,8.87,60.5,26.5,1729.4,56.2,1
1280.0,702.2,13.85,79.1,34.3,1585.8,32.4,0
1926.6,1153.8,10.1,66.9,23.2,1588.2,45.8,0
1977.2,1456.5,10.44,69.3,34.1,2241.0,57.8,0
1678.5,1115.6,12.92,67.8,27.1,1622.9,50.1,0
2095.2,1328.6,8.2,68.3,19.7,1724.1,58.0,1
2462.6,1521.3,8.45,72.3,26.3,2662.7,57.7,1
3426.0,2458.8,5.67,88.3,30.8,3417.6,83.7,1
2313.5,1468.7,11.8,70.4,25.5,2392.4,55.6,1
2367.4,1275.9,9.23,63.1,21.1,1642.4,48.0,0
2151.6,1240.4,9.46,67.8,26.3,1827.9,46.9,0
952.8,504.9,13.82,58.2,23.6,1357.9,43.9,0
2182.8,1824.0,7.29,82.1,29.0,3556.2,64.4,1
2239.1,1642.0,9.07,78.8,30.1,1959.7,64.6,1
3801.1,2388.6,3.72,81.7,22.8,3425.5,78.5,1
2075.0,1385.6,13.13,63.8,24.2,2355.7,43.9,0
2396.0,1615.4,6.92,66.5,30.0,2334.4,53.4,1
2177.4,1725.0,8.05,73.9,23.6,2911.1,56.2,1
1440.4,1078.3,10.91,68.5,22.7,1587.8,45.3,0
2942.8,2185.7,9.67,77.0,22.3,3278.3,68.5,1
2688.8,1698.4,6.64,71.2,28.4,2466.4,67.8,1
2714.2,1631.9,11.86,69.9,28.2,2905.7,67.8,1
1608.9,1059.9,12.16,66.5,24.3,1621.9,48.1,0
3111.8,2343.9,6.84,68.7,27.0,3324.4,72.4,1
1288.8,766.9,10.65,57.9,33.1,1742.3,40.1,0
2581.5,1646.0,9.68,69.9,23.1,2249.1,61.4,0
3623.8,2424.9,4.82,87.6,19.2,3551.8,76.7,1
1556.2,1020.7,13.07,62.1,28.8,1229.1,54.0,0
1831.9,1174.3,9.14,68.7,26.6,1641.4,56.8,0
2264.8,1625.3,8.74,73.9,24.2,2646.2,46.7,1
1872.7,1347.8,9.11,76.2,29.6,1887.5,54.4,0
1192.1,855.8,10.31,70.7,30.4,1406.4,54.4,0
2244.6,1181.4,11.68,67.6,18.2,2124.7,49.5,0
1509.5,907.5,12.4,62.5,24.4,1460.7,53.9,0
2507.8,1575.2,10.91,68.9,36.3,2715.8,57.7,1
1602.4,751.7,9.51,62.0,29.3,1504.3,45.1,0
3207.5,2058.8,8.88,75.3,29.7,3204.2,61.8,1
1690.9,1072.2,14.74,69.5,31.7,2212.5,43.5,0
1990.7,1325.3,9.35,71.6,27.1,2252.6,59.2,0
2728.8,1934.0,10.59,79.1,30.2,3379.1,71.6,1
1399.9,855.5,11.4,70.7,29.9,1842.8,46.2,0
2347.8,1272.8,8.17,78.2,29.2,1933.9,46.5,1
3049.6,2018.1,6.97,77.7,25.7,3410.5,68.1,1
1155.1,532.3,14.58,66.3,27.7,1244.6,47.5,0
2320.0,979.9,10.07,64.0,24.6,1606.5,58.8,1
2368.9,1589.2,8.14,78.3,27.1,2570.0,57.9,1
2708.2,1798.8,9.14,80.0,22.3,3082.2,53.8,1
1396.0,829.6,11.89,69.1,23.8,1673.5,50.6,0
1341.7,888.1,12.55,65.2,25.9,2156.8,45.0,0
2539.3,1485.1,9.79,67.9,23.2,2682.4,63.5,1
2393.0,1746.8,9.17,67.1,25.0,2840.5,64.4,1
2362.8,1903.6,7.21,75.6,26.3,2571.7,60.4,1
2425.2,1217.3,10.78,76.0,28.6,1967.7,53.2,0
1758.0,1108.8,9.45,65.6,30.8,1907.5,58.6,0
2351.0,1776.5,10.27,78.4,25.1,2929.7,62.4,1
2390.5,1609.0,8.01,76.8,32.3,2702.4,54.0,1
1735.7,919.9,13.24,63.6,30.8,1700.8,37.7,0
3412.8,1822.1,7.82,81.5,29.0,2813.7,59.5,1
2508.0,1319.8,10.35,54.9,27.6,2365.8,52.3,0
1425.7,1038.2,10.36,60.2,28.3,1540.1,54.4,0
2626.8,1577.4,7.56,67.7,31.7,2980.4,52.9,1
1566.5,767.8,9.5,59.3,31.9,845.6,53.7,0
2711.6,1734.3,6.91,75.7,32.3,3104.5,54.5,1
2953.1,1765.1,7.89,75.8,27.2,2692.8,77.1,1
1666.6,1180.6,10.89,69.9,29.2,2276.5,62.5,0
2826.2,1706.1,10.12,76.6,32.4,2741.8,62.8,1
2468.3,1364.2,9.22,65.2,24.5,2309.1,45.7,0
2734.3,1980.7,6.25,70.6,25.7,3142.1,66.8,1
3432.9,2071.2,5.07,79.6,27.1,3331.8,66.5,1
2040.5,1677.5,9.43,70.2,30.6,2498.3,53.8,1
1710.1,1151.9,12.76,59.7,30.7,2250.3,53.3,0
1621.8,962.0,13.29,70.4,26.1,1377.2,43.1,0
1669.7,1455.4,10.61,77.9,21.0,2317.6,53.0,0
2149.9,1172.5,11.56,75.6,28.0,2216.4,50.8,0
2421.7,1727.5,11.07,74.8,23.3,2957.9,58.9,1
2379.8,1339.4,10.48,72.8,21.0,2312.5,67.6,0
2737.7,1921.1,8.77,82.9,21.9,2783.3,62.8,1
2208.5,1439.7,9.12,67.5,28.3,2568.6,59.6,1
3144.8,2198.0,4.71,84.6,32.4,3046.7,72.1,1
2028.0,1599.9,7.97,73.9,27.2,3025.2,62.1,0
3968.1,2798.1,4.49,90.2,27.8,3972.3,85.0,1
2606.7,1506.8,9.44,72.4,31.7,1921.6,63.5,0
1642.8,777.3,14.97,70.0,20.8,1113.2,46.2,0
1503.9,1317.3,10.18,70.5,29.1,2159.7,56.0,0
2513.6,1906.5,9.62,68.4,27.0,2925.1,66.1,0
2054.7,1110.3,10.18,74.4,29.3,2478.7,50.0,0
2664.1,1864.4,7.54,70.7,25.1,2519.0,59.5,1
2507.6,1431.7,7.64,76.9,23.7,2301.5,56.5,0
2152.7,1607.6,7.86,72.1,27.6,2191.7,61.6,1
1649.6,914.1,12.36,70.9,33.6,1494.8,49.6,0
1215.3,796.4,12.02,69.4,30.4,2000.7,46.0,0
1909.8,1330.1,11.43,71.7,25.0,1821.8,53.5,0
2756.7,1370.3,10.13,72.5,21.6,2389.0,55.4,0
2339.2,1526.0,8.75,73.8,20.3,2525.4,55.3,0
1390.3,1013.4,14.42,56.0,32.3,1759.6,50.9,0
2312.6,1423.1,9.52,71.2,23.2,2434.7,55.4,0
2450.5,1634.1,10.62,67.3,25.7,2194.7,61.7,0
1625.5,940.8,10.87,66.1,32.3,2172.9,53.6,0
2299.9,1336.0,11.05,63.9,20.5,2747.5,50.8,0
2237.8,1411.9,11.1,64.5,33.0,2279.0,60.1,0
1457.1,1125.7,11.09,75.3,26.0,2634.1,51.3,0
2432.6,1711.5,5.05,79.1,22.4,2519.7,74.2,1
2564.5,1572.2,9.13,72.2,26.0,2585.4,58.2,1
2904.0,1814.4,10.04,75.8,24.1,3197.6,68.2,1
2885.0,1824.5,8.95,73.7,28.8,2642.9,64.3,1
1304.5,844.5,12.5,67.1,24.4,1141.1,37.5,0
1590.4,884.9,9.1,61.3,19.4,1122.6,43.5,0
2534.8,1738.4,7.4,79.0,26.1,3291.2,67.9,1
2534.0,1358.4,10.52,68.6,21.6,2039.3,52.9,0
2534.8,1370.4,10.48,67.9,27.8,2157.3,42.4,0
4500.0,2782.8,6.39,85.5,22.3,3644.6,82.0,1
2571.1,1655.0,8.58,70.1,25.0,2853.2,54.5,1
2938.1,1494.8,10.0,73.0,27.7,2134.0,58.8,1
2820.1,1832.7,8.15,72.4,26.2,2643.5,73.7,1
2623.4,1602.4,7.51,74.9,28.0,2592.9,64.7,1
1995.1,1289.1,6.78,75.2,29.7,1792.1,63.4,0
2693.3,1965.7,8.28,72.9,22.4,2903.5,63.5,1
1697.7,1262.7,10.53,68.2,26.7,2499.0,52.8,1
2046.1,1342.2,9.04,72.0,13.7,2306.3,48.9,0
1884.5,1388.7,7.36,68.0,28.0,2275.1,51.9,1
2253.2,1394.6,10.71,72.6,25.8,2307.7,50.6,0
3704.5,2675.8,4.57,87.0,23.1,3728.0,72.3,1
986.3,618.5,13.52,67.2,28.3,1872.0,49.8,0
2646.1,1734.2,11.29,70.9,31.7,2424.1,50.0,1
1151.7,494.6,9.93,55.7,25.1,1181.6,47.5,0
1893.2,1333.9,8.95,68.1,23.2,2201.9,62.5,0
2907.8,1875.0,7.65,70.7,27.7,3146.4,68.2,1
2241.8,1497.5,11.57,74.2,21.7,2702.8,51.4,0
1499.5,902.3,9.16,59.1,24.4,1618.3,37.4,0
1735.1,1096.8,13.79,78.7,31.9,1958.1,47.3,0
2641.7,1641.9,9.05,79.4,27.2,2650.9,64.5,1
1725.3,1111.9,10.69,67.2,19.5,1208.3,50.9,0
2340.7,1542.9,8.92,76.2,19.8,1952.0,52.7,1
2229.6,1345.1,9.3,61.5,27.6,1999.8,62.1,1
1776.5,1295.0,11.72,81.8,30.4,1950.3,64.4,0
3593.6,2692.5,3.3,81.5,20.5,3505.8,79.1,1
2612.0,1906.4,8.37,75.2,28.8,3107.9,66.4,1
883.7,580.0,12.25,52.1,32.3,1225.6,31.8,0
2321.2,1532.5,8.11,74.2,34.6,2351.2,56.2,0
1769.8,1254.3,14.18,63.2,28.3,1691.1,56.6,0
2754.1,1790.6,8.91,75.1,29.0,2724.9,65.7,1
1684.9,1134.5,11.67,64.7,18.5,1130.1,48.2,0
2125.4,1458.7,11.24,65.6,35.4,2274.5,55.7,1
2528.2,1445.9,7.45,66.8,24.7,2326.4,54.4,0
2762.7,1710.3,11.21,74.8,23.3,2710.4,60.4,1
1419.8,982.5,7.55,59.3,26.0,1258.9,51.0,0
1982.6,1318.7,8.9,65.7,33.0,2215.8,42.9,1
1891.3,1441.1,8.91,74.1,35.8,1988.9,56.6,0
1775.3,1260.0,11.15,81.8,27.5,1831.2,55.7,0
3347.5,2591.4,5.61,85.7,31.0,3954.6,75.2,1
2463.2,1705.4,8.35,69.1,27.2,3236.0,59.1,1
1380.4,925.2,11.51,63.3,22.8,1671.9,44.6,0
2796.6,1542.8,7.75,72.0,32.9,2183.4,56.1,1
3579.4,2506.5,3.35,80.7,24.5,3689.7,77.0,1
2871.1,1549.3,10.28,76.5,33.1,2718.3,59.8,1
1212.4,912.1,12.62,66.1,32.2,1826.4,34.5,0
1885.2,1033.6,13.5,70.8,29.5,2614.9,53.3,0
3023.5,2162.6,5.71,77.1,34.3,2988.7,68.8,1
1740.0,1088.7,11.96,73.5,35.9,1936.5,62.0,0
2488.5,1402.2,9.32,69.5,26.3,2717.5,49.1,0
2703.5,1657.8,10.57,68.3,23.8,3018.2,55.9,1
1597.5,1329.1,11.55,80.4,19.5,1576.3,53.7,0
2161.3,1286.4,10.49,59.9,36.0,2107.0,56.6,0
400.0,328.6,13.26,54.9,25.2,1356.1,24.5,0
1534.1,989.6,12.73,62.7,31.5,2604.2,43.6,0
2035.8,1073.7,11.94,79.3,24.0,2053.2,53.7,0
1388.9,1079.9,9.92,75.8,33.2,1739.6,44.6,0
3261.1,2144.2,4.97,85.9,24.2,2877.5,78.4,1
1270.4,1017.7,10.75,64.5,22.2,2437.7,46.4,0
1914.0,1195.0,12.79,80.2,26.2,2212.4,47.0,0
2285.0,1601.7,10.71,74.4,24.9,2247.7,63.7,0
3136.8,2004.2,5.82,81.8,29.4,2944.2,77.2,1
1266.7,934.3,9.74,66.1,26.8,1761.0,50.0,0
2956.1,2279.5,8.36,79.7,29.5,3512.5,80.3,1
2206.7,1346.6,8.25,68.5,25.8,1913.4,65.3,1
1562.0,952.4,12.19,64.4,24.3,1506.2,42.3,0
2500.4,1541.0,8.3,74.9,24.7,1930.3,64.5,0
2329.4,1733.6,10.92,75.8,35.2,2978.9,53.4,1
1809.9,1010.2,10.06,65.9,27.9,1660.2,51.5,0
2245.4,1205.9,12.19,75.7,19.1,2147.3,52.2,0
1949.5,1326.3,10.3,54.7,24.9,2584.6,62.3,0
2273.8,1626.2,9.28,75.3,27.4,2598.7,67.5,1
2630.4,1630.6,5.93,76.4,34.4,2504.3,64.0,1
3230.9,1845.4,4.78,80.9,31.1,2865.0,66.4,1
1395.4,972.4,11.02,65.3,23.3,1734.4,51.3,0
3586.5,2240.2,6.97,80.5,36.7,3674.2,72.4,1
931.1,737.6,10.55,68.0,26.9,1515.3,43.5,0
2101.3,1491.6,7.77,78.8,32.0,2201.2,66.6,1
2582.4,1453.5,10.39,69.4,22.4,2631.3,66.6,1
2382.6,1644.6,9.68,74.3,17.4,2924.9,60.0,1
1795.2,1245.3,10.12,77.0,21.4,1655.2,54.8,0
2064.7,1228.1,11.56,57.8,14.0,2495.0,53.5,0
1879.5,1286.2,8.42,65.6,35.4,2217.2,44.4,0
1816.9,1241.2,9.81,75.9,27.9,2136.4,51.3,0
2752.2,1764.6,10.85,79.8,23.3,3007.7,72.7,1
2432.1,1509.7,9.44,74.1,28.8,2217.0,53.8,1
1749.6,910.3,11.78,62.7,27.8,1924.1,59.8,0
2784.7,1669.1,12.2,68.8,29.5,2473.3,68.3,1
2399.7,1222.5,8.32,65.4,31.8,1585.7,55.3,0
2728.4,1846.0,9.27,82.9,25.8,2508.2,68.0,1
2609.3,1480.2,11.95,68.0,23.5,2520.3,52.3,0
1661.2,1037.2,10.62,66.9,30.3,1512.9,47.9,0
1835.9,901.5,12.91,61.1,30.2,2109.9,55.6,0
2685.7,1719.4,7.08,78.0,27.4,3006.0,58.6,1
2596.7,1859.0,7.0,72.6,35.7,3223.7,71.2,1
2186.4,1417.0,10.26,70.0,25.2,2308.7,48.3,1
2276.3,1435.0,10.82,62.3,23.4,2371.1,49.7,0
3030.5,2506.1,7.28,74.3,28.7,3274.5,88.4,1
1815.5,1213.5,12.8,68.3,24.3,2315.6,52.7,0
2555.6,1616.9,8.84,66.1,29.0,2635.1,57.1,1
2068.6,1683.6,10.48,83.9,23.7,2774.7,69.7,1
2058.5,1002.5,10.73,55.7,25.4,2259.6,56.3,0
2914.2,1657.6,10.14,69.1,34.6,2390.2,66.6,0
2736.5,1855.5,8.35,75.4,25.4,2781.6,61.4,1
2728.8,1848.3,8.74,73.4,23.8,2908.4,62.9,1
3048.6,2279.1,7.09,74.4,31.7,3068.3,74.6,1
2213.7,1337.7,7.58,64.8,22.8,2115.8,59.2,0
2643.3,1415.4,8.01,65.5,24.2,2417.1,53.5,1
1998.3,1343.7,10.11,68.3,29.3,2082.0,56.2,0
2410.7,1346.5,7.42,79.5,30.8,2575.8,56.9,0
2115.4,1391.5,11.03,70.6,31.9,1786.1,63.8,0
2263.0,1492.8,10.71,77.2,24.0,2702.9,62.5,0
2586.9,1709.3,9.08,76.2,29.4,2834.9,53.0,1
1668.2,1332.4,8.32,75.1,25.1,1994.9,53.7,1
3560.1,2379.9,8.15,67.0,24.6,3197.5,69.1,1
1546.1,908.3,14.65,63.4,31.8,1011.3,50.4,0
1410.8,1022.6,11.39,72.7,24.8,1539.7,54.7,0
2952.8,1806.9,8.99,71.9,28.1,3072.8,64.5,1
2714.6,1284.0,10.49,77.9,27.6,2088.2,52.5,1
2605.7,1614.6,9.74,80.1,22.7,2867.2,60.7,1
2608.4,1422.6,9.49,68.2,30.9,2092.3,57.9,0
2192.0,1701.1,8.57,71.1,29.2,2838.5,58.1,1
1616.8,1157.0,12.02,62.6,19.1,1731.0,44.4,0
2249.3,1456.1,13.06,67.8,28.1,2030.4,45.0,0
1759.8,884.2,9.58,58.5,23.9,1573.1,54.2,0
2833.8,1959.1,7.5,78.6,31.4,2749.3,69.7,1
2104.4,1367.1,8.1,62.7,21.2,1746.1,57.8,1
1663.4,1133.1,13.14,70.4,25.6,1861.7,58.8,0
1991.1,1290.7,9.28,72.3,28.4,2145.3,46.7,0
2468.4,1533.8,7.08,63.5,27.2,2797.8,48.3,1
1833.6,985.4,12.26,73.5,30.1,2012.7,50.8,0
1665.6,906.3,14.22,67.5,20.9,1998.9,48.8,0
2358.4,1439.0,10.6,74.5,33.6,2514.9,46.6,0
2359.2,1847.8,8.38,71.4,29.1,2909.5,66.8,1
1870.5,1307.7,10.71,72.4,32.4,1766.0,52.1,0
1893.8,988.0,13.42,71.4,30.5,1779.9,43.7,0
2350.8,1709.8,7.28,73.2,27.0,2816.3,60.1,1
1258.7,886.3,11.51,74.7,21.9,2045.1,32.0,0
1285.1,782.9,11.38,63.8,24.7,1684.6,41.1,0
1733.0,1096.9,9.13,72.7,33.4,2243.3,46.3,0
2061.3,1181.5,10.08,69.4,32.5,1667.2,55.5,0
2402.1,1710.6,10.25,76.6,24.5,2540.4,61.1,0
3159.0,1911.6,8.68,67.6,15.7,3018.4,69.7,1
2757.5,1711.0,9.55,75.6,26.1,2987.1,46.8,1
2096.0,1126.8,10.99,63.6,25.8,1865.0,46.1,0
2187.6,1506.3,10.14,67.2,26.0,2358.2,61.6,1
1548.4,886.6,10.47,73.4,29.1,1814.4,44.8,0
2188.0,1570.4,8.65,71.1,30.5,2125.2,64.5,1
2012.4,1541.2,9.51,66.8,31.0,2908.7,48.1,0
2409.8,1481.3,9.86,69.4,28.8,2087.8,62.2,1
1662.3,870.1,12.22,58.0,19.8,1012.0,42.5,0
2537.6,1620.5,8.72,79.9,25.6,2528.6,56.0,1
3196.3,1855.1,7.48,71.8,36.2,3328.4,70.7,1
2129.3,1164.7,15.0,70.4,28.5,2131.8,58.8,0
2461.1,1517.3,10.67,78.4,28.5,2621.9,64.7,1
2648.6,1600.3,9.62,70.0,28.4,2512.8,72.2,1
1939.2,1097.1,10.54,69.7,28.7,1825.7,58.2,0
2345.7,1420.5,9.0,65.4,17.5,1812.1,51.9,0
2208.2,1262.3,10.07,81.0,26.0,1400.1,54.5,0
2263.5,1447.7,10.01,75.5,26.8,2368.6,55.0,1
1697.5,1246.0,7.51,67.7,32.1,2451.3,65.5,0
2215.9,1346.7,7.6,65.9,27.2,2286.6,61.9,1
2523.7,1622.8,7.96,72.2,20.4,2715.5,59.3,1
3143.2,2347.5,6.51,79.0,28.7,3909.5,79.3,1
2823.5,2284.6,6.07,89.8,23.8,3454.4,65.4,1
3599.6,2323.9,8.5,74.3,22.1,3368.1,75.1,1
1701.2,1224.0,8.19,69.1,23.7,1784.4,47.3,0
2767.0,1743.4,7.34,74.0,29.2,3285.9,52.6,0
2319.2,1298.2,12.41,68.6,32.0,2280.8,59.0,0
3623.4,2287.1,6.62,79.5,28.9,3075.8,78.3,1
1674.6,970.4,12.69,65.0,29.5,1361.6,50.9,0
1654.2,923.2,14.61,69.5,28.9,2029.9,46.2,0
1810.4,1153.9,9.63,70.7,27.4,1631.1,44.0,0
819.5,426.5,13.25,61.8,29.8,1589.2,31.0,0
1858.3,1281.3,9.79,53.8,17.3,1274.7,48.2,0
1706.6,980.3,8.39,67.2,27.4,2152.1,47.0,0
2297.8,1412.4,9.24,62.2,22.8,2411.6,62.9,1
2422.1,1662.7,10.09,76.4,31.7,2613.9,67.5,1
3419.5,2211.9,7.52,86.6,26.4,3212.2,61.6,1
2817.8,2141.3,7.9,73.8,27.1,3743.9,66.0,1
1825.0,1159.6,10.09,66.4,21.0,2161.7,47.4,0
1616.0,1026.9,10.16,63.2,31.1,1512.7,34.1,0
2519.7,1628.8,10.8,79.0,29.5,2020.3,63.9,0
1341.8,972.6,10.61,66.1,29.2,1769.0,46.8,0
3390.4,1951.5,8.12,85.0,23.7,2939.1,65.9,1
2966.6,1584.7,9.3,74.4,23.9,2024.9,67.8,1
1895.0,1252.5,12.5,69.9,27.9,2049.0,54.0,0
1086.5,697.4,13.84,63.0,24.2,1199.5,40.5,0
3080.0,2136.1,5.05,82.5,28.7,3173.0,73.5,1
2125.5,1412.6,7.92,61.8,18.4,2483.6,62.8,0
3004.6,1601.9,9.86,72.9,25.0,2950.1,61.8,1
1163.6,682.1,12.35,62.1,34.2,1625.3,46.9,0
1810.4,1306.3,9.42,72.9,28.8,1916.5,53.6,0
2203.4,1334.7,11.52,68.7,27.7,2279.0,54.5,0
2230.5,1430.7,9.92,65.5,34.9,2307.3,57.5,0
1907.5,1297.1,10.21,69.2,17.7,1721.7,49.8,0
2604.9,1519.9,10.47,66.2,23.7,2519.3,55.1,0
1506.0,1080.9,10.38,57.2,25.4,2408.1,58.5,0
2107.5,1163.4,12.99,71.4,30.4,1964.0,63.9,0
2278.2,1384.8,8.63,73.0,30.5,1752.7,65.5,1
2534.4,1590.4,10.02,74.7,23.5,2497.1,51.9,1
2662.5,1791.2,10.43,81.1,31.0,2374.9,55.1,1
1469.0,720.3,10.23,59.6,25.4,1659.4,36.4,0
1202.8,869.2,11.23,57.4,31.8,1744.0,47.1,0
3030.5,2121.1,8.76,77.8,22.9,3100.1,52.9,1
2416.0,1352.4,11.66,68.1,26.5,2091.1,51.8,0
1713.5,1196.9,10.25,63.9,25.0,1932.4,60.9,0
3208.2,2058.9,6.18,77.1,31.2,3076.1,74.5,1
2275.2,1284.0,11.62,66.0,24.9,1873.4,51.0,0
2966.5,1869.1,9.77,66.3,26.8,2420.0,62.4,1
2243.9,1761.3,6.65,72.1,29.0,3043.2,66.4,1
3539.5,2565.8,3.57,77.4,29.2,3591.6,83.7,1
3341.0,2449.7,6.15,83.0,30.5,3612.2,72.7,1
